Country;GDP Capita;Education Index;Corruption Score;Vaccination Rate (p%);Political Stability Index;Crop Production Index;Percentage of Export (%);Poverty Rate;Road Density  (km/100 km2);Global Food Security Index (GSFI)
Senegal;1458.069093;0.368;45;7.29;-17;168.9;5.070191368;46.7;8;512
Botswana;7503.878588;0.659;60;52.4;98;119.5;23.89739263;19.3;5;511
Rwanda;783.6371628;0.45;54;67.36;17;127.9;3.872910297;38.2;18;506
Burkina Faso;804.5005378;0.286;42;11.72;-164;116.6;7.026634962;41.4;6;496
Tanzania;1042.838756;0.441;32;39.39;-44;101.9;4.790000361;26.4;9;491
Benin;1241.825298;0.471;36;20.17;-3;109.4;5.72836408;38.5;14;481
Malawi;544.5934354;0.451;31;14.8;-11;124.1;1.688371283;51.5;13;481
Uganda;770.6007843;0.525;25;27.02;-86;98.3;5.979513114;21.4;60;477
Mozambique;503.3179252;0.385;27;41.17;-123;128.4;5.003677813;46.1;4;473
Cameroon;1585.240534;0.547;26;4.61;-141;108.2;2.370954038;37.5;16.41365742;464
Niger;570.723922;0.214;35;19.75;-162;121.3;2.13831758;40.8;1;463
Togo;901.5230169;0.506;32;16.41;-8;108.9;10.16423865;55.1;21;462
Guinea;955.1112811;0.339;27;22.92;-97;126.6;1.097677842;43.7;16.27472938;451
Ethiopia;771.5248663;0.327;34;29.75;-207;109.8;1.946254103;23.5;11;445
Angola;3289.643995;0.498;18;21.96;-71;110.8;0.637696261;32.3;2.085505735;437
Zambia;1516.368371;0.58;38;40.92;6;114.4;5.946519859;54.4;9;435
Chad;726.1510071;0.298;20;20.42;-134;111.3;3.123228679;42.3;3;432
Democratic Republic of Congo;560.8073582;0.526;21;3.76;-61;110.4;1.027789809;63.9;6.721201562;430
Sudan;740.746767;0.328;14;9.68;-194;124.3;9.114266801;46.5;0.1;428
Venezuela;16,055.65;0.741;17;50.48;-153;97;0.39682167;33.1;19.62918416;426
Nigeria;2027.778549;0.483;28;22.11;-178;106.9;0.534904564;40.1;21;420
Burundi;238.783467;0.424;20;0.18;-136;151.7;0.961295203;64.9;44;406
Madagascar;523.9459714;0.498;26;5.91;-64;106.9;1.030988088;70.7;5;406
Sierra Leone;533.9915333;0.39;30;32.74;-16;104.6;0.801654338;56.8;16;405
Yemen;690.76;0.349;14;2.01;-259;101.4;7.385083167;48.6;62.36436322;401
Haiti;1479.345827;0.433;20;2.04;-11;89.1;0.455590263;58.5;15;385
Syria;1265.61;0.412;13;9.51;-266;140.2;12.69293874;35.2;2.758974359;363
